H Hidrógeno
Li Litio
Na Sodio
K Potasio
Rb Rubidio
Cs Cesio
Fr Francio
Be Berilio
Mg Magnesio
Ca Calcio
Sr Estroncio
Ba Bario
Ra Radio
Sc Escandio
Y Itrio
La Lantano
Ac Actinio
Ti Titanio
Zr Circonio
C Cerio
Th Torio
V Vanadio
Nb Niobio
Pr Praseodimio
Pa Protactinio
Cr Cromo
Mo Molibdeno
Nd Neodimio
U Uranio
Mn Manganeso
Tc Tecnecio
Pm Promecio
Np Neptunio
Fe Hierro
Ru Rutenio
Sm Samario
Pu Plutonio
Co Cobalto
Rh Rodio
Eu Europio
Am Americio
Ni Níquel
Pd Paladio
Gd Gadolinio
Cm Curio
Cu Cobre
Ag Plata
Tb Terbio
Bk Berkelio
Zn Cinc
Cd Cadmio
Dy Disprosio
Cf Californio
B Boro
Al Aluminio
Ga Galio
In Indio
Ho Holmio
Es Einstenio
C Carbono
Si Silicio
Ge Germanio
Sn Estaño
Er Erbio
Fm Fermio
N Nitrógeno
P Fósforo
As Arsénico
Sb Antimonio
Tm Tulio
Md Mendelevio
O Oxígeno
S Azúfre
Se Selenio
Te Teluro
Yb Iterbio
No Nobelio
F Flúor
Cl Cloro
Br Bromo
I Yodo
Lu Lutecio
Lr Laurencio
Hf Hafnio
Rf Rutherfordio
Ta Tantalio
Db Dubnio
W Wolframio
Sg Seaborgio
Re Renio
Bh Bohrio
Os Osmio
Hs Hasio
Ir Iridio
Mt Meitnerio
Pt Platino
Au Oro
Hg Mercurio
Tl Talio
Pb Plomo
Bi Bismuto
Po Polonio
At ástato
He Helio
Ne Neón
Ar Argón
Kr Kriptón
Xe Xenón
Rn Radón
